,listing_id,month,price
55,58211,1,205.0
84,58211,2,220.0
115,58211,3,220.0
366,58211,4,300.0
397,58211,5,235.0
1227,58211,7,250.0
1258,58211,8,220.0
1288,58211,9,220.0
1319,58211,10,220.0
1349,58211,11,242.0
1357,58211,12,243.0
1930,20168,1,140.0
2002,20168,2,147.0
2033,20168,3,140.0
2063,20168,4,200.0
2107,20168,5,80.0
2458,270839,2,72.0
2489,270839,3,70.0
2543,20168,6,150.0
2574,20168,7,150.0
2731,270839,5,85.0
2761,270839,6,80.0
3176,62801,1,750.0
3205,62801,2,750.0
3236,62801,3,750.0
3266,62801,4,750.0
3297,62801,5,750.0
3452,62801,6,750.0
3483,62801,7,750.0
3514,62801,8,750.0
3544,62801,9,750.0
3575,62801,10,750.0
3605,62801,11,750.0
3611,62801,12,750.0
3750,25428,11,125.0
3756,25428,12,125.0
3947,27886,2,140.0
5442,274688,1,125.0
5471,274688,2,125.0
5730,27886,3,155.0
6169,69042,1,120.0
6213,27886,7,155.0
6248,27886,8,155.0
6278,27886,9,155.0
6309,27886,10,155.0
6339,27886,11,155.0
6345,27886,12,155.0
6687,69042,3,217.0
6717,69042,4,362.0
6748,69042,5,217.0
6778,69042,6,253.0
6809,69042,7,253.0
6840,69042,8,253.0
6870,69042,9,290.0
6901,69042,10,290.0
7952,283170,1,650.0
7981,283170,2,650.0
8012,283170,3,1050.0
8073,283170,5,650.0
8224,28871,4,75.0
8300,283170,6,650.0
8331,283170,7,650.0
8362,283170,8,650.0
8484,28871,8,75.0
8514,28871,9,75.0
8545,28871,10,75.0
8575,28871,11,75.0
8581,28871,12,75.0
8867,283621,1,135.0
8902,283621,2,280.0
8933,283621,3,247.0
8963,283621,4,412.0
8994,283621,5,247.0
9024,283621,6,288.0
9055,283621,7,288.0
9149,73917,1,175.0
9178,73917,2,175.0
9239,73917,4,175.0
9300,73917,6,175.0
9518,73917,8,175.0
9548,73917,9,175.0
9579,73917,10,175.0
9609,73917,11,175.0
9615,73917,12,175.0
9690,29051,4,55.0
9791,29051,6,55.0
9859,29051,8,55.0
9920,29051,10,55.0
10006,75382,2,99.0
10150,29051,11,55.0
10156,29051,12,55.0
10717,75444,2,71.0
11415,41125,1,180.0
11511,76668,1,145.0
11576,76668,3,145.0
12134,286374,11,80.0
12140,286374,12,80.0
12195,76668,8,165.0
12225,76668,9,165.0
12256,76668,10,165.0
12286,76668,11,145.0
12292,76668,12,145.0
12347,80635,1,120.0
