,id,name,host_id,host_since,host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,neighbourhood,latitude,longitude,is_location_exact,room_type,bathrooms,bedrooms,beds,price,availability,number_of_reviews,first_review,last_review,rating,score_clean,score_communication,score_location
0,2818,Quiet Garden View Room & Super Fast WiFi,3159,2008-09-24,within an hour,100,True,1.0,True,Oostelijk Havengebied - Indische Buurt,52.36575,4.94142,False,Private room,1,1,2,59.0,0,277,2009-03-30,2019-11-21,9.8,10.0,10.0,9.0
1,20168,Studio with private bathroom in the centre 1,59484,2009-12-02,within an hour,100,False,2.0,True,Centrum-Oost,52.36509,4.89354,True,Private room,1,1,1,80.0,198,306,2010-03-02,2019-12-05,8.9,10.0,10.0,10.0
2,25428,Lovely apt in City Centre (w.lift) near Jordaan,56142,2009-11-20,within an hour,100,False,2.0,True,Centrum-West,52.37297,4.88339,False,Entire home/apt,1,1,1,125.0,71,3,2018-01-21,2019-05-11,10.0,10.0,10.0,10.0
3,27886,"Romantic, stylish B&B houseboat in canal district",97647,2010-03-23,within an hour,100,True,1.0,True,Centrum-West,52.38673,4.89208,True,Private room,1,1,1,155.0,251,206,2012-01-09,2019-11-11,9.9,10.0,10.0,10.0
4,28871,Comfortable double room,124245,2010-05-13,within an hour,100,True,3.0,True,Centrum-West,52.36719,4.8909199999999995,True,Private room,1,1,1,75.0,134,318,2010-08-22,2019-11-23,9.8,10.0,10.0,10.0
5,29051,Comfortable single room,124245,2010-05-13,within an hour,100,True,3.0,True,Centrum-West,52.36773,4.89151,True,Private room,1,1,1,55.0,0,467,2011-03-16,2019-11-26,9.5,10.0,10.0,10.0
7,41125,Amsterdam Center Entire Apartment,178515,2010-07-23,within an hour,100,True,1.0,True,Centrum-West,52.37891,4.88321,False,Entire home/apt,1,1,1,180.0,34,87,2010-11-25,2019-07-08,9.6,10.0,10.0,10.0
9,43109,Oasis in the middle of Amsterdam,188098,2010-08-01,within a day,75,False,1.0,True,Centrum-West,52.375370000000004,4.88932,True,Entire home/apt,1,2,4,210.0,0,821,2010-09-14,2019-11-29,9.8,10.0,10.0,10.0
10,43980,View into park / museum district (long/short stay),65041,2009-12-22,within a few hours,100,False,1.0,True,Zuid,52.357459999999996,4.8612400000000004,False,Entire home/apt,1,1,1,100.0,183,61,2010-11-01,2018-02-18,8.0,7.0,9.0,9.0
12,47061,Charming apartment in old centre,211696,2010-08-24,within a few hours,100,False,1.0,True,De Baarsjes - Oud-West,52.36799,4.87447,True,Entire home/apt,1,2,2,140.0,0,182,2010-09-13,2019-06-19,9.6,9.0,10.0,10.0
13,48076,Amsterdam Central and lot of space,219080,2010-08-31,within an hour,100,True,2.0,True,Centrum-West,52.38042,4.8945300000000005,True,Entire home/apt,2,3,4,270.0,57,201,2011-10-02,2019-11-23,9.7,9.0,10.0,10.0
14,49552,Multatuli Luxury Guest Suite in top location,225987,2010-09-06,within a few hours,100,True,1.0,True,Centrum-West,52.37925,4.89023,True,Entire home/apt,1,2,2,220.0,0,351,2010-10-29,2019-12-05,9.8,10.0,10.0,10.0
15,50515,"Family Home (No drugs, smoking or parties)",231864,2010-09-12,within a day,80,False,1.0,True,Bos en Lommer,52.37727,4.83925,False,Entire home/apt,1,3,3,120.0,104,15,2014-04-17,2019-08-20,9.4,10.0,10.0,9.0
